commodity,model,date,forecast_price
Telur Ayam Ras,GRU,2025-11-18,27363.733947674787
Telur Ayam Ras,GRU,2025-11-19,27355.271188049363
Telur Ayam Ras,GRU,2025-11-20,27346.966127611544
Telur Ayam Ras,GRU,2025-11-21,27338.815011823146
Telur Ayam Ras,GRU,2025-11-22,27330.81420068059
Telur Ayam Ras,GRU,2025-11-23,27322.960164683114
Telur Ayam Ras,GRU,2025-11-24,27315.24948118251
Telur Ayam Ras,GRU,2025-11-25,27307.678830783174
Telur Ayam Ras,GRU,2025-11-26,27300.244993741424
Telur Ayam Ras,GRU,2025-11-27,27292.94484452793
Telur Ayam Ras,GRU,2025-11-28,27285.77535133731
Telur Ayam Ras,GRU,2025-11-29,27278.733571498742
Telur Ayam Ras,GRU,2025-11-30,27271.8166481359
Tepung Terigu,ARIMA,2025-11-01,13000.0
Tepung Terigu,ARIMA,2025-11-02,13000.0
Tepung Terigu,ARIMA,2025-11-03,13000.0
Tepung Terigu,ARIMA,2025-11-04,13000.0
Tepung Terigu,ARIMA,2025-11-05,13000.0
Tepung Terigu,ARIMA,2025-11-06,13000.0
Tepung Terigu,ARIMA,2025-11-07,13000.0
Tepung Terigu,ARIMA,2025-11-08,13000.0
Tepung Terigu,ARIMA,2025-11-09,13000.0
Tepung Terigu,ARIMA,2025-11-10,13000.0
Tepung Terigu,ARIMA,2025-11-11,13000.0
Tepung Terigu,ARIMA,2025-11-12,13000.0
