variant_id,commodity,satuan_display,date,price,nama_hari
38,Bawang Putih Honan,kg,3/6/2024,32333,Rabu
52,Beras Medium,kg,3/7/2024,14617,Kamis
51,Beras Premium,kg,3/7/2024,15617,Kamis
14,Gula Pasir Curah,kg,3/7/2024,16500,Kamis
17,Minyak Goreng Sawit Kemasan Premium,lt,3/7/2024,25000,Kamis
16,Minyak Goreng Sawit Curah,lt,3/7/2024,15667,Kamis
18,Minyakita,lt,3/7/2024,14833,Kamis
19,Daging Sapi Paha Belakang,kg,3/7/2024,120000,Kamis
27,Daging Ayam Ras,kg,3/7/2024,38000,Kamis
25,Telur Ayam Ras,kg,3/7/2024,29750,Kamis
26,Tepung Terigu,kg,3/7/2024,12500,Kamis
48,Kedelai Impor,kg,3/7/2024,15000,Kamis
2,Cabai Merah Keriting,kg,3/7/2024,60000,Kamis
10,Cabai Rawit Merah,kg,3/7/2024,53000,Kamis
9,Cabai Merah Besar,kg,3/7/2024,69000,Kamis
13,Bawang Merah,kg,3/7/2024,25333,Kamis
38,Bawang Putih Honan,kg,3/7/2024,31000,Kamis
52,Beras Medium,kg,3/8/2024,14617,Jumat
51,Beras Premium,kg,3/8/2024,15617,Jumat
14,Gula Pasir Curah,kg,3/8/2024,16500,Jumat
17,Minyak Goreng Sawit Kemasan Premium,lt,3/8/2024,25000,Jumat
16,Minyak Goreng Sawit Curah,lt,3/8/2024,15667,Jumat
18,Minyakita,lt,3/8/2024,14833,Jumat
19,Daging Sapi Paha Belakang,kg,3/8/2024,120000,Jumat
27,Daging Ayam Ras,kg,3/8/2024,38000,Jumat
25,Telur Ayam Ras,kg,3/8/2024,29750,Jumat
26,Tepung Terigu,kg,3/8/2024,12500,Jumat
48,Kedelai Impor,kg,3/8/2024,15000,Jumat
2,Cabai Merah Keriting,kg,3/8/2024,60000,Jumat
10,Cabai Rawit Merah,kg,3/8/2024,51667,Jumat
9,Cabai Merah Besar,kg,3/8/2024,69000,Jumat
13,Bawang Merah,kg,3/8/2024,25333,Jumat
38,Bawang Putih Honan,kg,3/8/2024,31000,Jumat
52,Beras Medium,kg,3/13/2024,14617,Rabu
51,Beras Premium,kg,3/13/2024,15617,Rabu
14,Gula Pasir Curah,kg,3/13/2024,16500,Rabu
17,Minyak Goreng Sawit Kemasan Premium,lt,3/13/2024,25000,Rabu
16,Minyak Goreng Sawit Curah,lt,3/13/2024,15667,Rabu
18,Minyakita,lt,3/13/2024,14833,Rabu
19,Daging Sapi Paha Belakang,kg,3/13/2024,120000,Rabu
27,Daging Ayam Ras,kg,3/13/2024,38000,Rabu
25,Telur Ayam Ras,kg,3/13/2024,29750,Rabu
26,Tepung Terigu,kg,3/13/2024,12500,Rabu
48,Kedelai Impor,kg,3/13/2024,15000,Rabu
2,Cabai Merah Keriting,kg,3/13/2024,56000,Rabu
10,Cabai Rawit Merah,kg,3/13/2024,56000,Rabu
9,Cabai Merah Besar,kg,3/13/2024,62000,Rabu
13,Bawang Merah,kg,3/13/2024,25333,Rabu
38,Bawang Putih Honan,kg,3/13/2024,31000,Rabu
52,Beras Medium,kg,3/14/2024,14617,Kamis
51,Beras Premium,kg,3/14/2024,15617,Kamis
14,Gula Pasir Curah,kg,3/14/2024,16500,Kamis
17,Minyak Goreng Sawit Kemasan Premium,lt,3/14/2024,25000,Kamis
16,Minyak Goreng Sawit Curah,lt,3/14/2024,15667,Kamis
18,Minyakita,lt,3/14/2024,14667,Kamis
19,Daging Sapi Paha Belakang,kg,3/14/2024,120000,Kamis
27,Daging Ayam Ras,kg,3/14/2024,38000,Kamis
25,Telur Ayam Ras,kg,3/14/2024,29500,Kamis
26,Tepung Terigu,kg,3/14/2024,12500,Kamis
48,Kedelai Impor,kg,3/14/2024,15000,Kamis
2,Cabai Merah Keriting,kg,3/14/2024,56000,Kamis
10,Cabai Rawit Merah,kg,3/14/2024,56000,Kamis
9,Cabai Merah Besar,kg,3/14/2024,62000,Kamis
13,Bawang Merah,kg,3/14/2024,25333,Kamis
38,Bawang Putih Honan,kg,3/14/2024,31000,Kamis
52,Beras Medium,kg,3/15/2024,14617,Jumat
51,Beras Premium,kg,3/15/2024,15617,Jumat
14,Gula Pasir Curah,kg,3/15/2024,16500,Jumat
17,Minyak Goreng Sawit Kemasan Premium,lt,3/15/2024,25000,Jumat
16,Minyak Goreng Sawit Curah,lt,3/15/2024,15667,Jumat
18,Minyakita,lt,3/15/2024,14667,Jumat
19,Daging Sapi Paha Belakang,kg,3/15/2024,120000,Jumat
27,Daging Ayam Ras,kg,3/15/2024,38000,Jumat
25,Telur Ayam Ras,kg,3/15/2024,29500,Jumat
26,Tepung Terigu,kg,3/15/2024,12500,Jumat
48,Kedelai Impor,kg,3/15/2024,15000,Jumat
2,Cabai Merah Keriting,kg,3/15/2024,56000,Jumat
10,Cabai Rawit Merah,kg,3/15/2024,56000,Jumat
9,Cabai Merah Besar,kg,3/15/2024,62000,Jumat
13,Bawang Merah,kg,3/15/2024,25333,Jumat
38,Bawang Putih Honan,kg,3/15/2024,31000,Jumat
52,Beras Medium,kg,3/18/2024,14617,Senin
51,Beras Premium,kg,3/18/2024,15617,Senin
14,Gula Pasir Curah,kg,3/18/2024,16500,Senin
17,Minyak Goreng Sawit Kemasan Premium,lt,3/18/2024,25000,Senin
16,Minyak Goreng Sawit Curah,lt,3/18/2024,15667,Senin
18,Minyakita,lt,3/18/2024,14667,Senin
19,Daging Sapi Paha Belakang,kg,3/18/2024,120000,Senin
27,Daging Ayam Ras,kg,3/18/2024,38000,Senin
25,Telur Ayam Ras,kg,3/18/2024,29500,Senin
26,Tepung Terigu,kg,3/18/2024,12500,Senin
48,Kedelai Impor,kg,3/18/2024,15000,Senin
2,Cabai Merah Keriting,kg,3/18/2024,56000,Senin
10,Cabai Rawit Merah,kg,3/18/2024,50667,Senin
9,Cabai Merah Besar,kg,3/18/2024,52667,Senin
13,Bawang Merah,kg,3/18/2024,25333,Senin
38,Bawang Putih Honan,kg,3/18/2024,31000,Senin
52,Beras Medium,kg,3/19/2024,14617,Selasa
51,Beras Premium,kg,3/19/2024,15567,Selasa
